Title,Video URL,Channel,Channel URL,Timestamp,Year,Month,Weekdays,TimeOfDay,Hour
"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",https://www.youtube.com/watch?v=yRCUfumiqhk,YouAligned,https://www.youtube.com/channel/UCyEEqjhf3NeujoC73yUZbKw,2023-02-28 09:42:18+04:00,2023,2,0,Working Hours,9
"The AI Buzz, Episode #4: ChatGPT + Bing and How to start an AI company in 3 easy steps.",https://www.youtube.com/watch?v=tc4LGTVRXV8,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-02-27 18:18:49+04:00,2023,2,0,After Work Hours,18
CatBoost Part 1: Ordered Target Encoding,https://www.youtube.com/watch?v=KXOTSkPL2X4,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-02-27 18:18:38+04:00,2023,2,0,After Work Hours,18
15 min Morning Yoga Practice - FULL BODY Sunrise Yoga Flow,https://www.youtube.com/watch?v=yTggTF7OkQ4,Yoga with Kassandra,https://www.youtube.com/channel/UCX32D3gKXENrhOXdZjWWtMA,2023-02-27 09:18:56+04:00,2023,2,0,Working Hours,9
Join the 21-Day Hip Opening Challenge!,https://www.youtube.com/watch?v=BaOujS9ev9M,,,2023-02-27 09:17:53+04:00,2023,2,0,Working Hours,9
Curious George 🐵 George learns about boats 🐵 Kids Cartoon 🐵 Kids Movies 🐵 Videos for Kids,https://www.youtube.com/watch?v=WWRFsirhmp0,Curious George Official,https://www.youtube.com/channel/UCu7IDy0y-ZA0qaG51wrQY6w,2023-02-26 19:26:28+04:00,2023,2,1,After Work Hours,19
"Toddler Learning Video with Ms Rachel | 2 Year Old Milestones, Speech & Social Skills for Toddlers",https://www.youtube.com/watch?v=INYqyOPAP9Y,Ms Rachel - Toddler Learning Videos,https://www.youtube.com/channel/UCG2CL6EUjG8TVT1Tpl9nJdg,2023-02-26 18:45:02+04:00,2023,2,1,After Work Hours,18
我是一个粉刷匠 经典儿歌,https://www.youtube.com/watch?v=SKIbh47fee8,经典儿歌100首,https://www.youtube.com/channel/UCNJluf2Lbxs6m3Y87y9OaUA,2023-02-26 10:29:19+04:00,2023,2,1,Working Hours,10
20 min Full Body Yoga - Intermediate Vinyasa Yoga,https://www.youtube.com/watch?v=5wUC4HlQwZc,Yoga with Kassandra,https://www.youtube.com/channel/UCX32D3gKXENrhOXdZjWWtMA,2023-02-26 08:40:26+04:00,2023,2,1,Early Morning,8
20 Minute Intermediate Yoga Routine: Strength & Stretch,https://www.youtube.com/watch?v=haAcbt2_XnU,Breathe and Flow,https://www.youtube.com/channel/UCbfPq-uRqonJQli41muSLeQ,2023-02-25 15:17:17+04:00,2023,2,1,Working Hours,15
VSA Stroage Dogs OV 16x9 15 US,https://www.youtube.com/watch?v=8t9cKPnRIeA,,,2023-02-25 15:15:55+04:00,2023,2,1,Working Hours,15
TOY STORY 1 FULL MOVIE,https://www.youtube.com/watch?v=VHUBHkPLzjs,Pixelmania TV,https://www.youtube.com/channel/UC5sjHlQi5NJsGPGd0ZCAcTA,2023-02-25 12:17:18+04:00,2023,2,1,Working Hours,12
"Preschool Videos - Toddler Learning Videos -  Circle Time, Phonics, Colors, Numbers - Dinosaur Class",https://www.youtube.com/watch?v=noJrVwp6akE,Ms Rachel - Toddler Learning Videos,https://www.youtube.com/channel/UCG2CL6EUjG8TVT1Tpl9nJdg,2023-02-25 10:31:11+04:00,2023,2,1,Working Hours,10
"Toddler Learning Video with Ms Rachel | 2 Year Old Milestones, Speech & Social Skills for Toddlers",https://www.youtube.com/watch?v=INYqyOPAP9Y,Ms Rachel - Toddler Learning Videos,https://www.youtube.com/channel/UCG2CL6EUjG8TVT1Tpl9nJdg,2023-02-24 18:56:18+04:00,2023,2,0,After Work Hours,18
Does a vertical monitor make you more productive? #shorts,https://www.youtube.com/watch?v=zvmenZfiPq4,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-02-24 13:02:46+04:00,2023,2,0,Working Hours,13
"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",https://www.youtube.com/watch?v=yRCUfumiqhk,YouAligned,https://www.youtube.com/channel/UCyEEqjhf3NeujoC73yUZbKw,2023-02-24 08:38:15+04:00,2023,2,0,Early Morning,8
Join the 21-Day Hip Opening Challenge!,https://www.youtube.com/watch?v=BaOujS9ev9M,,,2023-02-24 08:37:22+04:00,2023,2,0,Early Morning,8
My Favourite MacBook Apps (2023),https://www.youtube.com/watch?v=JWOR5Y-qmfg,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-02-23 09:09:31+04:00,2023,2,0,Working Hours,9
7 Simple Mobility Movements for the Morning,https://www.youtube.com/watch?v=JyoGiNZLxaU,Breathe and Flow,https://www.youtube.com/channel/UCbfPq-uRqonJQli41muSLeQ,2023-02-23 07:21:53+04:00,2023,2,0,Early Morning,7
How To Retire Faster (5 Investment Strategies),https://www.youtube.com/watch?v=05e6JIpG4Ko,Tae Kim - Financial Tortoise,https://www.youtube.com/channel/UCEPWaN-XiZqEQAPiwvBa3ng,2023-02-22 11:43:07+04:00,2023,2,0,Working Hours,11
The Halo Effect #shorts,https://www.youtube.com/watch?v=Ksjt_I8rDrE,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-02-22 11:41:26+04:00,2023,2,0,Working Hours,11
"15min. Power Yoga ""Get Up and Flow"" with Travis",https://www.youtube.com/watch?v=Mn5KC16q31w,Travis Eliot,https://www.youtube.com/channel/UCHTisXO8TeozyYOxEZGC8XQ,2023-02-22 08:41:16+04:00,2023,2,0,Early Morning,8
INTERMEDIATE YOGA CLASS 🔥 Creative Vasisthasana Variations with Alba Avella (Full Class),https://www.youtube.com/watch?v=Z1YozcD0Wlo,YouAligned,https://www.youtube.com/channel/UCyEEqjhf3NeujoC73yUZbKw,2023-02-22 08:40:12+04:00,2023,2,0,Early Morning,8
10min Yoga Flow Sequence,https://www.youtube.com/watch?v=D9q5WsMk4ro,yoginimelbourne,https://www.youtube.com/channel/UCUK-gz5bmmjn2W2tJRJWeew,2023-02-21 22:02:04+04:00,2023,2,0,After Work Hours,22
Spidey To the Power of Three | Marvel's Spidey and His Amazing Friends | Full Episode Disney Junior,https://www.youtube.com/watch?v=yth0Crday8Q,Disney Junior,https://www.youtube.com/channel/UCNcdbMyA59zE-Vk668bKWOg,2023-02-21 20:05:08+04:00,2023,2,0,After Work Hours,20
Freeze! It's Team Spidey | S1 E23 | Full Episode | Spidey and his Amazing Friends | @disneyjunior,https://www.youtube.com/watch?v=t4pZwMW-FEw,Disney Junior,https://www.youtube.com/channel/UCNcdbMyA59zE-Vk668bKWOg,2023-02-21 19:41:00+04:00,2023,2,0,After Work Hours,19
Goofy on Mars | S1 E9 | Full Episode | Mickey Mouse Clubhouse | @disneyjunior,https://www.youtube.com/watch?v=zVtNc2vJix8,Disney Junior,https://www.youtube.com/channel/UCNcdbMyA59zE-Vk668bKWOg,2023-02-21 19:37:27+04:00,2023,2,0,After Work Hours,19
Mickey and Donald Have a Farm 🚜 | S4 E1 | Full Episode | Mickey Mouse Clubhouse | @disneyjunior,https://www.youtube.com/watch?v=XOnHtStmbCI,Disney Junior,https://www.youtube.com/channel/UCNcdbMyA59zE-Vk668bKWOg,2023-02-21 19:07:16+04:00,2023,2,0,After Work Hours,19
"Videos for Babies and Toddlers - Animal Sounds, First Words, Toddler Speech Learning Exercises",https://www.youtube.com/watch?v=05Vj6rGCauQ,Ms Rachel - Toddler Learning Videos,https://www.youtube.com/channel/UCG2CL6EUjG8TVT1Tpl9nJdg,2023-02-21 18:34:17+04:00,2023,2,0,After Work Hours,18
"One-Hot, Label, Target and K-Fold Target Encoding, Clearly Explained!!!",https://www.youtube.com/watch?v=589nCGeWG1w,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-02-21 09:46:17+04:00,2023,2,0,Working Hours,9
Here's How to Improve Interpersonal Skills (Even If You're Shy or Introverted),https://www.youtube.com/watch?v=HgSepKzszCI,Dr. Grace Lee,https://www.youtube.com/channel/UCdXTQ5fllvRWrQWWoBVj1WQ,2023-02-20 16:01:15+04:00,2023,2,0,Working Hours,16
9-Year Hustle to Achieve a Single GoalㅣNotion's Cofounders,https://www.youtube.com/watch?v=FPYl7nIKRbA,EO,https://www.youtube.com/channel/UClWTCPVi-AU9TeCN6FkGARg,2023-02-20 15:43:06+04:00,2023,2,0,Working Hours,15
The Paradox of Choice #shorts,https://www.youtube.com/watch?v=5-YXQ9LcEjQ,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-02-20 15:41:30+04:00,2023,2,0,Working Hours,15
Soft Discipline: How to Live a Consistently Successful Life,https://www.youtube.com/watch?v=CmGLRPKMy3A,Elizabeth Filips,https://www.youtube.com/channel/UCUFFHXvzAMRSD8Bq4bJppxQ,2023-02-20 15:19:12+04:00,2023,2,0,Working Hours,15
Signature Select,https://www.youtube.com/watch?v=U0HsF5uDYZ8,,,2023-02-20 15:18:00+04:00,2023,2,0,Working Hours,15
25 Minute Intermediate Power Yoga Workout for Strength,https://www.youtube.com/watch?v=CyWbOoKJIKk,Breathe and Flow,https://www.youtube.com/channel/UCbfPq-uRqonJQli41muSLeQ,2023-02-20 07:29:30+04:00,2023,2,0,Early Morning,7
Understanding Logic vs Emotion In Relationships #shorts,https://www.youtube.com/watch?v=n8s6xFU6zvo,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-19 14:56:49+04:00,2023,2,1,Working Hours,14
How To Ask Someone On A Date (In Person) #shorts,https://www.youtube.com/watch?v=vk7WKG_y8U8,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-19 14:56:42+04:00,2023,2,1,Working Hours,14
How To Improve Communication In Your Relationship,https://www.youtube.com/watch?v=jzMgXARCRg0,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-19 14:55:42+04:00,2023,2,1,Working Hours,14
The Pygmalion Effect #shorts,https://www.youtube.com/watch?v=HgS5__-Pt74,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-02-19 14:54:54+04:00,2023,2,1,Working Hours,14
The Matthew Effect #shorts,https://www.youtube.com/watch?v=OK1Eic3oBs4,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-02-19 14:53:55+04:00,2023,2,1,Working Hours,14
Why You Should Start A Bullet Journal,https://www.youtube.com/watch?v=Rj1gMJmlDnE,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-19 14:52:41+04:00,2023,2,1,Working Hours,14
Jeff Bezos Made His Billions from Google?!💰,https://www.youtube.com/watch?v=YPv2ub9Vn3U,Our Future,https://www.youtube.com/channel/UC2htIc3-njRI5BKTJ2QqNfA,2023-02-19 14:51:42+04:00,2023,2,1,Working Hours,14
20 MIN LEG/BUTT/THIGH WORKOUT - Lower Body Strength,https://www.youtube.com/watch?v=zZ8tWnE8kzQ,MadFit,https://www.youtube.com/channel/UCpQ34afVgk8cRQBjSJ1xuJQ,2023-02-19 14:30:00+04:00,2023,2,1,Working Hours,14
Advanced Vinyasa Yoga Flow (Free Class),https://www.youtube.com/watch?v=6LeKFE_aB4I,YouAligned,https://www.youtube.com/channel/UCyEEqjhf3NeujoC73yUZbKw,2023-02-19 08:32:39+04:00,2023,2,1,Early Morning,8
Don't Make THIS Mistake When Dating #shorts,https://www.youtube.com/watch?v=nJcZDY2RHVE,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-18 14:13:36+04:00,2023,2,1,Working Hours,14
15 Minute Vinyasa Flow Yoga Class in the Mountains of Colorado,https://www.youtube.com/watch?v=W15ZATDFV70,YouAligned,https://www.youtube.com/channel/UCyEEqjhf3NeujoC73yUZbKw,2023-02-18 08:27:06+04:00,2023,2,1,Early Morning,8
Philosophical Science Fiction Novels You Should Read,https://www.youtube.com/watch?v=Vrd9JnK8cho,Jared Henderson,https://www.youtube.com/channel/UC2Kyj04yISmHr1V-UlJz4eg,2023-02-17 21:17:46+04:00,2023,2,0,After Work Hours,21
7 insanely useful academic apps you've not heard about!,https://www.youtube.com/watch?v=F_M19e8MI10,Andy Stapleton,https://www.youtube.com/channel/UCFqXmQ56-Gp1rIKa-GoAJvQ,2023-02-17 21:11:29+04:00,2023,2,0,After Work Hours,21
How to Master Consistency to Achieve Your Goals,https://www.youtube.com/watch?v=7CKrumDEoHA,The Art of Improvement,https://www.youtube.com/channel/UCtYzVCmNxrshH4_bPO_-Y-A,2023-02-17 21:09:35+04:00,2023,2,0,After Work Hours,21
Andrew Huberman: 5 Rules for A Better Life,https://www.youtube.com/watch?v=0qOAJyTMdRo,GROWTH,https://www.youtube.com/channel/UCGT_BYcMHygJYqYWZjGx68A,2023-02-17 14:15:04+04:00,2023,2,0,Working Hours,14
Words That Every Husband Would Love To Hear💔,https://www.youtube.com/watch?v=eIX3QJCJaZs,justmaxeth,https://www.youtube.com/channel/UCV3PGtUpxu73OYXeqrh-4mA,2023-02-17 14:14:00+04:00,2023,2,0,Working Hours,14
Financially Efficient Household (9 Practical Tips),https://www.youtube.com/watch?v=oL1DZa_Ezok,Tae Kim - Financial Tortoise,https://www.youtube.com/channel/UCEPWaN-XiZqEQAPiwvBa3ng,2023-02-17 14:05:12+04:00,2023,2,0,Working Hours,14
Life Coach: Why Your Energy Drives Your Success In Life - Simon Alexander Ong,https://www.youtube.com/watch?v=yjSBNBK9Nf8,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-17 13:46:05+04:00,2023,2,0,Working Hours,13
Kindle Scribe Review (2023) - Best Kindle?,https://www.youtube.com/watch?v=DW6jW9utbwU,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-02-17 13:43:20+04:00,2023,2,0,Working Hours,13
Energizing 22 Min Full Body Vinyasa Yoga | Breathe and Flow Yoga,https://www.youtube.com/watch?v=9v_BhVCFjXk,Breathe and Flow,https://www.youtube.com/channel/UCbfPq-uRqonJQli41muSLeQ,2023-02-17 11:33:57+04:00,2023,2,0,Working Hours,11
"Think Fast, Talk Smart: Communication Techniques",https://www.youtube.com/watch?v=HAnw168huqA,Stanford Graduate School of Business,https://www.youtube.com/channel/UCGwuxdEeCf0TIA2RbPOj-8g,2023-02-16 12:25:21+04:00,2023,2,0,Working Hours,12
Communication Skills - How To Improve Communication Skills - 7 Unique Tips!,https://www.youtube.com/watch?v=mPRUNGGORDo,Improvement Pill,https://www.youtube.com/channel/UCBIt1VN5j37PVM8LLSuTTlw,2023-02-16 12:04:23+04:00,2023,2,0,Working Hours,12
How to Prepare for Mediation with a Narcissist | #Mediation with Bob Bordone,https://www.youtube.com/watch?v=3ZQgZArRyxg,,,2023-02-16 12:03:31+04:00,2023,2,0,Working Hours,12
Tell Me About Yourself - Interview Question Sample Answer,https://www.youtube.com/watch?v=rF6X-DBR4AQ,Dr. Grace Lee,https://www.youtube.com/channel/UCdXTQ5fllvRWrQWWoBVj1WQ,2023-02-16 09:18:56+04:00,2023,2,0,Working Hours,9
The Single Method For Designing A Life You Want - Cal Newport,https://www.youtube.com/watch?v=NnsocpKNEZ4,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-16 09:17:54+04:00,2023,2,0,Working Hours,9
The Man in the Car Paradox #shorts,https://www.youtube.com/watch?v=UYfGC31ZDJw,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-02-16 09:17:44+04:00,2023,2,0,Working Hours,9
The Top 5 Regrets of the Dying #shorts,https://www.youtube.com/watch?v=1gS5v6EMaSc,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-02-16 09:16:57+04:00,2023,2,0,Working Hours,9
How to Establish a Consistent Daily Yoga Practice,https://www.youtube.com/watch?v=MTlgHgQoG9w,Breathe and Flow,https://www.youtube.com/channel/UCbfPq-uRqonJQli41muSLeQ,2023-02-16 09:14:28+04:00,2023,2,0,Working Hours,9
Ground and Rise Strong - 20 Minute Vinyasa Flow,https://www.youtube.com/watch?v=ALlJdDPuyck,Breathe and Flow,https://www.youtube.com/channel/UCbfPq-uRqonJQli41muSLeQ,2023-02-16 08:53:03+04:00,2023,2,0,Early Morning,8
Life Coach: Why Your Energy Drives Your Success In Life - Simon Alexander Ong,https://www.youtube.com/watch?v=yjSBNBK9Nf8,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-15 13:09:11+04:00,2023,2,0,Working Hours,13
The Secret To Staying Motivated,https://www.youtube.com/watch?v=jJ2coLXaHj8,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-15 13:08:57+04:00,2023,2,0,Working Hours,13
The Man in the Car Paradox #shorts,https://www.youtube.com/watch?v=UYfGC31ZDJw,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-02-15 13:07:26+04:00,2023,2,0,Working Hours,13
25 Minute Intermediate Yoga for Strength,https://www.youtube.com/watch?v=52GAcwujm0k,Breathe and Flow,https://www.youtube.com/channel/UCbfPq-uRqonJQli41muSLeQ,2023-02-15 08:50:09+04:00,2023,2,0,Early Morning,8
🔴  Kids Songs & Nursery Rhymes - Wheels on the Bus + More & Toddler Learning Video with Ms Rachel,https://www.youtube.com/watch?v=XfwH93plIoI,Ms Rachel - Toddler Learning Videos,https://www.youtube.com/channel/UCG2CL6EUjG8TVT1Tpl9nJdg,2023-02-14 19:12:25+04:00,2023,2,0,After Work Hours,19
Life Coach: Why Your Energy Drives Your Success In Life - Simon Alexander Ong,https://www.youtube.com/watch?v=yjSBNBK9Nf8,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-14 09:55:57+04:00,2023,2,0,Working Hours,9
The Secret To Staying Motivated,https://www.youtube.com/watch?v=jJ2coLXaHj8,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-14 09:55:00+04:00,2023,2,0,Working Hours,9
The Goldilocks Rule #shorts,https://www.youtube.com/watch?v=jcSYlmIOOBg,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-02-14 09:53:35+04:00,2023,2,0,Working Hours,9
"The art of asking the right questions | Tim Ferriss, Warren Berger, Hope Jahren & more | Big Think",https://www.youtube.com/watch?v=tYnGiWlwcj4,Big Think,https://www.youtube.com/channel/UCvQECJukTDE2i6aCoMnS-Vg,2023-02-14 09:30:02+04:00,2023,2,0,Working Hours,9
10 Minute Full Body Yoga Activation Practice,https://www.youtube.com/watch?v=hKsAjoj4UK4,Breathe and Flow,https://www.youtube.com/channel/UCbfPq-uRqonJQli41muSLeQ,2023-02-14 07:43:20+04:00,2023,2,0,Early Morning,7
Open Nature: Free From Unnecessary Additives,https://www.youtube.com/watch?v=KiVQZ4BpIOw,,,2023-02-14 07:42:20+04:00,2023,2,0,Early Morning,7
The Truth About FIRE - Is Early Retirement Actually Possible?,https://www.youtube.com/watch?v=SEItn9Csitg,The Plain Bagel,https://www.youtube.com/channel/UCFCEuCsyWP0YkP3CZ3Mr01Q,2023-02-13 13:27:14+04:00,2023,2,0,Working Hours,13
TONED LEGS & ROUND BOOTY WORKOUT (20 min dumbbell workout),https://www.youtube.com/watch?v=iDfifXSpRZE,MadFit,https://www.youtube.com/channel/UCpQ34afVgk8cRQBjSJ1xuJQ,2023-02-13 13:04:45+04:00,2023,2,0,Working Hours,13
IRON Series 30 Min Leg Workout - Dumbbell Leg Day | 1,https://www.youtube.com/watch?v=SCxNnWW2zB8,Caroline Girvan,https://www.youtube.com/channel/UCpis3RcTw6t47XO0R_KY4WQ,2023-02-13 13:01:59+04:00,2023,2,0,Working Hours,13
How to Design Your Life (My Process For Achieving Goals),https://www.youtube.com/watch?v=Czru2CuWyxQ,ModernHealthMonk,https://www.youtube.com/channel/UCix7wE05YbRdOVUPNHy0KTg,2023-02-13 11:58:06+04:00,2023,2,0,Working Hours,11
The Easy Way to Achieve Your Goals,https://www.youtube.com/watch?v=_D_C2-2FZ5w,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-02-13 10:57:27+04:00,2023,2,0,Working Hours,10
A Complete Guide to Goal Setting,https://www.youtube.com/watch?v=XpKvs-apvOs,The Art of Improvement,https://www.youtube.com/channel/UCtYzVCmNxrshH4_bPO_-Y-A,2023-02-13 10:57:07+04:00,2023,2,0,Working Hours,10
"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",https://www.youtube.com/watch?v=yRCUfumiqhk,YouAligned,https://www.youtube.com/channel/UCyEEqjhf3NeujoC73yUZbKw,2023-02-13 08:20:49+04:00,2023,2,0,Early Morning,8
Create a Passive Income Stream with ChatGPT Ai: A Step-by-Step Guide,https://www.youtube.com/watch?v=H3EYrG8zGWQ,10X INCOME,https://www.youtube.com/channel/UC1YBt7XX1NynB6gOOm06-BQ,2023-02-12 18:42:13+04:00,2023,2,1,After Work Hours,18
"7 ""Silent"" Money Traps to Avoid In Your 30s",https://www.youtube.com/watch?v=1jsPWGSr84I,Tae Kim - Financial Tortoise,https://www.youtube.com/channel/UCEPWaN-XiZqEQAPiwvBa3ng,2023-02-12 15:14:01+04:00,2023,2,1,Working Hours,15
How To Get Ahead Of 99% Of People (In 1 Year),https://www.youtube.com/watch?v=naCd-yyvwMI,Stefanovic,https://www.youtube.com/channel/UC0GmdVKZhMM3Rmielp4oVAA,2023-02-12 15:07:02+04:00,2023,2,1,Working Hours,15
Public Speaking Hacks to Convey Confidence As A Leader,https://www.youtube.com/watch?v=4wtGD-kIFD0,Dr. Grace Lee,https://www.youtube.com/channel/UCdXTQ5fllvRWrQWWoBVj1WQ,2023-02-12 14:56:07+04:00,2023,2,1,Working Hours,14
Learning with Ms Rachel | Learn Words and Colors for Toddlers | Educational Kids Videos | Animals,https://www.youtube.com/watch?v=yBj9Qlpwjcs,Ms Rachel - Toddler Learning Videos,https://www.youtube.com/channel/UCG2CL6EUjG8TVT1Tpl9nJdg,2023-02-12 13:22:50+04:00,2023,2,1,Working Hours,13
"Learn Numbers, Colors, Counting and Shapes with Ms Rachel | Learning Videos for Toddlers in English",https://www.youtube.com/watch?v=hOHrqPI9bVk,Ms Rachel - Toddler Learning Videos,https://www.youtube.com/channel/UCG2CL6EUjG8TVT1Tpl9nJdg,2023-02-12 12:22:36+04:00,2023,2,1,Working Hours,12
Advanced Vinyasa Yoga Flow (Free Class),https://www.youtube.com/watch?v=6LeKFE_aB4I,YouAligned,https://www.youtube.com/channel/UCyEEqjhf3NeujoC73yUZbKw,2023-02-12 08:54:56+04:00,2023,2,1,Early Morning,8
Join the 21-Day Hip Opening Challenge!,https://www.youtube.com/watch?v=BaOujS9ev9M,,,2023-02-12 08:49:02+04:00,2023,2,1,Early Morning,8
230206 HL CastleGrounds9932 POSTLAUNCH Skippable VY MP 1080x1920 27s EN,https://www.youtube.com/watch?v=Jyv04e6u3VA,,,2023-02-12 08:48:35+04:00,2023,2,1,Early Morning,8
The Wheels On The Bus + More | ft. @MrMonkeyMonkeyMechanic | Super Simple Songs,https://www.youtube.com/watch?v=kYKvQ5qi55Y,Super Simple Songs - Kids Songs,https://www.youtube.com/channel/UCLsooMJoIpl_7ux2jvdPB-Q,2023-02-11 17:55:22+04:00,2023,2,1,After Work Hours,17
Laugh & Learn | Clean-Up Party | NEW Episode | Kids Songs | Toddler Cartoons | @FisherPrice,https://www.youtube.com/watch?v=VHiBxN971cA,,,2023-02-11 17:52:59+04:00,2023,2,1,After Work Hours,17
Be Frugal. Not Cheap.,https://www.youtube.com/watch?v=vk6wfx4VMmE,Tae Kim - Financial Tortoise,https://www.youtube.com/channel/UCEPWaN-XiZqEQAPiwvBa3ng,2023-02-11 16:11:15+04:00,2023,2,1,Working Hours,16
Dopamine Detox Tier List - 25 Things To Avoid,https://www.youtube.com/watch?v=l8DHU97rAfg,Improvement Pill,https://www.youtube.com/channel/UCBIt1VN5j37PVM8LLSuTTlw,2023-02-11 15:39:51+04:00,2023,2,1,Working Hours,15
This Is Why You're Always Distracted,https://www.youtube.com/watch?v=_UoMR7lWgs4,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-11 15:38:46+04:00,2023,2,1,Working Hours,15
The Best Way To Think About Goals,https://www.youtube.com/watch?v=3XtgKXvFOmQ,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-11 15:37:47+04:00,2023,2,1,Working Hours,15
3 Tips To Build The Best Morning Routine,https://www.youtube.com/watch?v=mgPruCXij1Y,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-11 07:54:53+04:00,2023,2,1,Early Morning,7
YogaStrong Challenge Day 1 - STRONG CORE Yoga Class with Ashton August,https://www.youtube.com/watch?v=AaeftCD70UM,YouAligned,https://www.youtube.com/channel/UCyEEqjhf3NeujoC73yUZbKw,2023-02-11 07:35:56+04:00,2023,2,1,Early Morning,7
The brain dictionary,https://www.youtube.com/watch?v=k61nJkx5aDQ,nature video,https://www.youtube.com/channel/UC7c8mE90qCtu11z47U0KErg,2023-02-10 15:41:47+04:00,2023,2,0,Working Hours,15
Benedict Cumberbatch reads a hilarious letter of apology to a hotel,https://www.youtube.com/watch?v=ZXusaBNctC8,Letters Live,https://www.youtube.com/channel/UC4VK4LX8hbTjgdAipl0cHhw,2023-02-10 14:35:19+04:00,2023,2,0,Working Hours,14
"Tensors for Neural Networks, Clearly Explained!!!",https://www.youtube.com/watch?v=L35fFDpwIM4,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-02-10 14:26:17+04:00,2023,2,0,Working Hours,14
10 lessons I learned in my 20s | for anyone feeling lost :'),https://www.youtube.com/watch?v=2qpBjiRM0wk,Rowena Tsai,https://www.youtube.com/channel/UCaYF1G_L5J7sqJzEeBVUDzw,2023-02-10 14:10:32+04:00,2023,2,0,Working Hours,14
"Cal Newport: Lifestyle Design, Slow Productivity and Contrarian Writing",https://www.youtube.com/watch?v=uB8fCHGh_is,Deep Dive with Ali Abdaal,https://www.youtube.com/channel/UChfo46ZNOV-vtehDc25A1Ug,2023-02-10 10:07:17+04:00,2023,2,0,Working Hours,10
20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,https://www.youtube.com/watch?v=buwYuH3Ja1M,YouAligned,https://www.youtube.com/channel/UCyEEqjhf3NeujoC73yUZbKw,2023-02-10 09:49:37+04:00,2023,2,0,Working Hours,9
Treasure Hunt Song | Cocomelon - Nursery Rhymes | Fun Cartoons For Kids | Moonbug Kids,https://www.youtube.com/watch?v=iMei1P2faBk,JJ's Animal Adventure,https://www.youtube.com/channel/UCGGlDdIlbyViz6MFdJMk1iw,2023-02-09 18:54:35+04:00,2023,2,0,After Work Hours,18
